Nom du Club, Numéro
SATUS Gränichen,2784
SATUS Rothrist LA,2785
STV Auw,2787
STV Beinwil/Freiamt,2788
STV Gränichen LA,2789
STV Mühlau,2790
TV Stein (AG),2793
TV Wohlen AG,2794
TV Zofingen LA,2795
TV Herisau,2799
TV St. Peterzell,2800
SATUS Biel-Stadt,2828
SK Langnau,2829
STB Leichtathletik,2830
TSV Frauenkappelen,2832
Turn- und Sportverein Wangen an der Aare,2834
Turnverein Kehrsatz,2835
TV Attiswil,2837
TV Bolligen,2838
TV Fraubrunnen,2839
TV Grosshöchstetten,2840
TV Herzogenbuchsee,2841
TV Lützelflüh Athletics,2843
TV Lyss,2844
TV Meiringen,2845
TV Oberdiessbach,2846
TV Ostermundigen,2848
TV Saanen-Gstaad,2849
TV Schwarzenburg,2850
TV Spiez,2851
TV Sumiswald,2852
TV Unterseen,2853
LG Oberbaselbiet / BTV Sissach,2856
LV FrenkeFortuna,2857
STV Hägendorf,2858
SC Liestal,2859
Sportclub Biel-Benken,2860
TV Arlesheim,2862
TV Muttenz athletics,2864
Basel Running Club Athletics,2865
LAS Old Boys Basel,2867
TV Riehen,2869
LC Schaan,2870
LC Vaduz,2871
Turnverein Triesen,2872
TV Eschen-Mauren,2873
Athletic Team Rechthalten,2874
Athletica Veveyse,2875
CA Belfaux,2876
CA Gibloux Farvagny,2878
CA Marly,2879
CA Rosé,2880
CARC Romont,2881
CS Le Mouret,2883
CS Marsens,2884
CS Neirivue,2885
FSG Estavayer,2886
SA Bulle,2887
TSV Düdingen,2888
TSV Gurmels,2889
TSV Heitenried,2890
TSV St. Antoni,2891
Sportverein Alterswil,2892
TV Bösingen,2893
TV Plaffeien,2894
TV Wünnewil,2895
Athlétisme Viseu-Genève,2896
C.H. Châtelaine,2897
CA Genève,2898
CHP Genève,2899
FSG Bernex-Confignon,2901
FSG Meyrin,2902
FSG Versoix,2903
Perform-CBS,2904
SATUS Athl. Genève,2905
Stade Genève,2906
Versoix Athlétisme,2907
AJ TV Landquart,2908
BTV Chur Leichtathletik,2909
TV Tamins,2910
CA des Franches-Montagnes,2912
CA Fontenais,2913
Delémont Athlétisme,2914
FSG Alle,2915
FSG Bassecourt,2916
FSG Courgenay,2917
GS Franches-Montagnes,2918
AUDACIA Leichtathletik,2919
ESV Eschenbach,2920
LAR STV Hitzkirch,2921
LC Emmenstrand,2922
LR Ebikon,2925
LR Gettnau,2926
LR Nottwil,2927
STV Altbüron,2928
STV Ballwil,2929
STV Beromünster,2930
STV Malters,2931
STV Roggliswil,2932
STV Sempach,2934
STV Willisau,2935
TSV Oberkirch,2936
TSV Rothenburg athletics,2937
TV Inwil,2939
TV Reussbühl LA,2940
TV Sursee,2941
TV Wolhusen,2942
CEP Cortaillod,2943
FSG Bevaix,2944
FSG Couvet,2947
FSG Geneveys et Coffrane,2948
FSG Le Locle,2949
SEP Olympic La Chaux-de-Fonds,2950
Leichtathletik Alpnach,2953
Team FitSport.ch,2955
TV Sarnen LA,2956
Athleticteam KTV Altstätten,2957
KTV Bütschwil,2958
KTV Oberriet,2960
KTV Wil LA,2961
LA Sennwald,2962
LAG Gossau,2963
LC Brühl Leichtathletik,2964
LC Rapperswil-Jona,2965
LGB Bodensee,2967
STV Eschenbach SG,2970
STV Ganterschwil,2973
STV Grabs,2974
STV Marbach SG,2976
STV Oberriet-Eichenwies,2977
STV St. Margrethen,2978
SVD athletics,2979
TSV Engelburg,2980
TSV Hinterforst,2982
TV Azmoos,2984
TV Lütisburg,2985
TV Mels,2986
TV Schänis,2988
TV St. Gallen-Ost,2989
TV Widnau,2990
LC Schaffhausen,2991
LZ Lostorf,2994
STV Bettlach,2995
STV Oensingen,2997
TV Selzach,2998
STV Welschenrohr,2999
